model_label,model_code,ref_label,ref_percent,bps_name
10170_6_7_8_9_12_18_Agriculture,10170_6_7_8_9_12_18,Agriculture,0,Columbia Plateau Western Juniper Woodland and Savanna
10170_6_7_8_9_12_18_Developed,10170_6_7_8_9_12_18,Developed,0,Columbia Plateau Western Juniper Woodland and Savanna
10170_6_7_8_9_12_18_Water,10170_6_7_8_9_12_18,Water,0,Columbia Plateau Western Juniper Woodland and Savanna
10170_6_7_8_9_12_18_UN,10170_6_7_8_9_12_18,UN,0,Columbia Plateau Western Juniper Woodland and Savanna
10170_6_7_8_9_12_18_UE,10170_6_7_8_9_12_18,UE,0,Columbia Plateau Western Juniper Woodland and Savanna
10180_1_7_A,10180_1_7,A,4,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland
10180_1_7_B,10180_1_7,B,36,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland
10180_1_7_C,10180_1_7,C,11,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland
10180_1_7_D,10180_1_7,D,11,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland
10180_1_7_E,10180_1_7,E,38,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland
10180_1_7_Agriculture,10180_1_7,Agriculture,0,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland
10180_1_7_Developed,10180_1_7,Developed,0,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland
10180_1_7_Water,10180_1_7,Water,0,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland
10180_1_7_UN,10180_1_7,UN,0,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland
10180_1_7_UE,10180_1_7,UE,0,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland
10190_13_14_A,10190_13_14,A,2,Great Basin Pinyon-Juniper Woodland
10190_13_14_B,10190_13_14,B,7,Great Basin Pinyon-Juniper Woodland
10190_13_14_C,10190_13_14,C,27,Great Basin Pinyon-Juniper Woodland
10190_13_14_D,10190_13_14,D,64,Great Basin Pinyon-Juniper Woodland
10190_13_14_E,10190_13_14,E,NA,Great Basin Pinyon-Juniper Woodland
10190_13_14_Agriculture,10190_13_14,Agriculture,0,Great Basin Pinyon-Juniper Woodland
10190_13_14_Developed,10190_13_14,Developed,0,Great Basin Pinyon-Juniper Woodland
10190_13_14_Water,10190_13_14,Water,0,Great Basin Pinyon-Juniper Woodland
10190_13_14_UN,10190_13_14,UN,0,Great Basin Pinyon-Juniper Woodland
10190_13_14_UE,10190_13_14,UE,0,Great Basin Pinyon-Juniper Woodland
10190_15_A,10190_15,A,2,Great Basin Pinyon-Juniper Woodland
10190_15_B,10190_15,B,7,Great Basin Pinyon-Juniper Woodland
10190_15_C,10190_15,C,27,Great Basin Pinyon-Juniper Woodland
10190_15_D,10190_15,D,64,Great Basin Pinyon-Juniper Woodland
10190_15_E,10190_15,E,NA,Great Basin Pinyon-Juniper Woodland
10190_15_Agriculture,10190_15,Agriculture,0,Great Basin Pinyon-Juniper Woodland
10190_15_Developed,10190_15,Developed,0,Great Basin Pinyon-Juniper Woodland
10190_15_Water,10190_15,Water,0,Great Basin Pinyon-Juniper Woodland
10190_15_UN,10190_15,UN,0,Great Basin Pinyon-Juniper Woodland
10190_15_UE,10190_15,UE,0,Great Basin Pinyon-Juniper Woodland
10190_4_A,10190_4,A,1,Great Basin Pinyon-Juniper Woodland
10190_4_B,10190_4,B,5,Great Basin Pinyon-Juniper Woodland
10190_4_C,10190_4,C,32,Great Basin Pinyon-Juniper Woodland
10190_4_D,10190_4,D,25,Great Basin Pinyon-Juniper Woodland
10190_4_E,10190_4,E,37,Great Basin Pinyon-Juniper Woodland
10190_4_Agriculture,10190_4,Agriculture,0,Great Basin Pinyon-Juniper Woodland
10190_4_Developed,10190_4,Developed,0,Great Basin Pinyon-Juniper Woodland
10190_4_Water,10190_4,Water,0,Great Basin Pinyon-Juniper Woodland
10190_4_UN,10190_4,UN,0,Great Basin Pinyon-Juniper Woodland
10190_4_UE,10190_4,UE,0,Great Basin Pinyon-Juniper Woodland
10190_6_7_9_12_16_17_18_19_A,10190_6_7_9_12_16_17_18_19,A,9,Great Basin Pinyon-Juniper Woodland
10190_6_7_9_12_16_17_18_19_B,10190_6_7_9_12_16_17_18_19,B,12,Great Basin Pinyon-Juniper Woodland
10190_6_7_9_12_16_17_18_19_C,10190_6_7_9_12_16_17_18_19,C,22,Great Basin Pinyon-Juniper Woodland
10190_6_7_9_12_16_17_18_19_D,10190_6_7_9_12_16_17_18_19,D,57,Great Basin Pinyon-Juniper Woodland
10190_6_7_9_12_16_17_18_19_E,10190_6_7_9_12_16_17_18_19,E,NA,Great Basin Pinyon-Juniper Woodland
10190_6_7_9_12_16_17_18_19_Agriculture,10190_6_7_9_12_16_17_18_19,Agriculture,0,Great Basin Pinyon-Juniper Woodland
10190_6_7_9_12_16_17_18_19_Developed,10190_6_7_9_12_16_17_18_19,Developed,0,Great Basin Pinyon-Juniper Woodland
10190_6_7_9_12_16_17_18_19_Water,10190_6_7_9_12_16_17_18_19,Water,0,Great Basin Pinyon-Juniper Woodland
10190_6_7_9_12_16_17_18_19_UN,10190_6_7_9_12_16_17_18_19,UN,0,Great Basin Pinyon-Juniper Woodland
10190_6_7_9_12_16_17_18_19_UE,10190_6_7_9_12_16_17_18_19,UE,0,Great Basin Pinyon-Juniper Woodland
10200_13_A,10200_13,A,14,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
10200_13_B,10200_13,B,16,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
10200_13_C,10200_13,C,70,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
10200_13_D,10200_13,D,NA,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
10200_13_E,10200_13,E,NA,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
10200_13_Agriculture,10200_13,Agriculture,0,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
10200_13_Developed,10200_13,Developed,0,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
