BpS_Name,Model_Code
Mojave Mid-Elevation Mixed Desert Scrub,10820_4_13
Mojave Mid-Elevation Mixed Desert Scrub,10820_6
North Pacific Avalanche Chute Shrubland,10830_1
North Pacific Montane Shrubland,10840_1
Northwestern Great Plains Shrubland,10850_20
Northwestern Great Plains Shrubland,10850_29_30
Rocky Mountain Lower Montane-Foothill Shrubland,10860_13_16_17_18_21_23
Rocky Mountain Lower Montane-Foothill Shrubland,10860_25
Rocky Mountain Lower Montane-Foothill Shrubland,10860_26
Rocky Mountain Lower Montane-Foothill Shrubland,10860_27_31_33
Rocky Mountain Lower Montane-Foothill Shrubland,10860_28
Rocky Mountain Lower Montane-Foothill Shrubland,10860_29
Rocky Mountain Lower Montane-Foothill Shrubland - No True Mountain Mahogany,10861_22
Rocky Mountain Lower Montane-Foothill Shrubland - True Mountain Mahogany,10862_22
Sonora-Mojave Creosotebush-White Bursage Desert Scrub,10870_4_6_12_13_14_15_17_24_25
Sonora-Mojave Mixed Salt Desert Scrub,10880_12_13_14_25
Sonora-Mojave Mixed Salt Desert Scrub,10880_4_5
Sonoran Granite Outcrop Desert Scrub,10900_14
Sonoran Mid-Elevation Desert Scrub,10910_13_14
Sonoran Mid-Elevation Desert Scrub,10910_15
Sonoran Mid-Elevation Desert Scrub,10910_25
Southern California Coastal Scrub,10920_4
Southern Colorado Plateau Sand Shrubland,10930_13_15_16_23_24_28
Western Great Plains Sandhill Steppe,10940_25
Western Great Plains Sandhill Steppe,10940_26
Western Great Plains Sandhill Steppe,10940_27_33
Western Great Plains Sandhill Steppe,10940_31_38
Western Great Plains Sandhill Steppe,10940_32_35
Western Great Plains Sandhill Steppe,10940_34
Apacherian-Chihuahuan Mesquite Upland Scrub,10950_14
Apacherian-Chihuahuan Mesquite Upland Scrub,10950_15
Apacherian-Chihuahuan Mesquite Upland Scrub,10950_25
Apacherian-Chihuahuan Mesquite Upland Scrub,10950_26_35
Apacherian-Chihuahuan Mesquite Upland Scrub,10950_27
California Maritime Chaparral,10960_3
California Maritime Chaparral,10960_4
California Mesic Chaparral,10970_3_6_7
California Mesic Chaparral,10970_4_5
California Montane Woodland and Chaparral,10980_3
California Montane Woodland and Chaparral,10980_4
California Montane Woodland and Chaparral,10980_6
California Montane Woodland and Chaparral,10980_7
California Xeric Serpentine Chaparral,10990_3
California Xeric Serpentine Chaparral,10990_4
Chihuahuan Mixed Desert and Thorn Scrub,11000_15
Chihuahuan Mixed Desert and Thorn Scrub,11000_26
Chihuahuan Mixed Desert and Thorn Scrub - Shrubland,11002_25
Chihuahuan Mixed Desert and Thorn Scrub - Steppe,11003_25
Madrean Oriental Chaparral,11010_25
Madrean Oriental Chaparral,11010_26
Colorado Plateau Pinyon-Juniper Shrubland,11020_13_15_16_23_24
Colorado Plateau Pinyon-Juniper Shrubland,11020_28
Great Basin Semi-Desert Chaparral,11030_6_7_12_13_16_17_23
Mogollon Chaparral,11040_13_14_25
Mogollon Chaparral,11040_15
Mogollon Chaparral,11040_17
Mogollon Chaparral,11040_23_24
Northern and Central California Dry-Mesic Chaparral,11050_3_6_7
Northern and Central California Dry-Mesic Chaparral,11050_4_5
Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,11060_1_8_9
Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,11060_10_19
Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,11060_18
