VALUE,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE
2354,16990,72,16990_72,Alaska Arctic Mesic Herbaceous Meadow,Grassland,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,237,237,0,0.929412,0.929412,0
2355,17010,72,17010_72,Alaska Arctic Coastal Sedge-Dwarf-Shrubland,Shrubland,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255,130,71,1,0.509804,0.278431
2356,17020,72,17020_72,Alaska Arctic Wet Sedge-Sphagnum Peatland,Peatland non-forest,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,224,237,237,0.878431,0.929412,0.929412
2357,17030,72,17030_72,Alaska Arctic Dwarf-Shrub-Sphagnum Peatland,Peatland non-forest,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,193,204,204,0.756863,0.8,0.8
2358,17040,72,17040_72,Alaska Arctic Permafrost Plateau Dwarf-Shrub Lichen Tundra,Peatland non-forest,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,224,237,224,0.878431,0.929412,0.878431
2359,17050,72,17050_72,Alaska Arctic Sedge Freshwater Marsh,Riparian,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,191,255,0,0.74902,1
2360,17060,72,17060_72,Alaska Arctic Polygonal Ground Wet Sedge Tundra,Grassland,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,175,226,255,0.686275,0.886275,1
2361,17080,72,17080_72,Alaska Arctic Polygonal Ground Shrub-Tussock Tundra,Grassland,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,226,255,226,0.886275,1,0.886275
2362,17090,72,17090_72,Alaska Arctic Marine Beach and Beach Meadow,Grassland,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255,242,142,1,0.94902,0.556863
2363,17110,72,17110_72,Alaska Arctic Tidal Marsh,Riparian,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,237,224,229,0.929412,0.878431,0.898039
2364,17120,72,17120_72,Alaska Arctic Coastal Brackish Meadow,Riparian,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,99,183,255,0.388235,0.717647,1
2365,17140,72,17140_72,Alaska Arctic Large River Floodplain,Hardwood,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28,135,237,0.109804,0.529412,0.929412
2366,17150,72,17150_72,Alaska Arctic Floodplain,Hardwood,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15,79,140,0.058824,0.309804,0.54902
2367,17170,72,17170_72,Alaska Arctic Bedrock and Talus,Sparse,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,242,242,242,0.94902,0.94902,0.94902
2369,16011,73,16011_73,Western North American Boreal Treeline White Spruce Woodland-Boreal,Conifer,150,333,-9999,104,69,31,-9999,IV-B,0,119,0,0,0.466667,0
2370,16012,73,16012_73,Western North American Boreal Treeline White Spruce Woodland-Alaska Sub-boreal,Conifer,398,1036,-9999,287,72,28,-9999,V-A,0,119,0,0,0.466667,0
2371,16030,73,16030_73,Western North American Boreal White Spruce-Hardwood Forest,Conifer-Hardwood,150,364,-9999,106,71,29,-9999,IV-B,0,165,0,0,0.647059,0
2372,16041,73,16041_73,Western North American Boreal Mesic Black Spruce Forest-Boreal,Conifer,112,206,-9999,73,65,35,-9999,III-A,0,188,0,0,0.737255,0
2373,16042,73,16042_73,Western North American Boreal Mesic Black Spruce Forest-Alaska Sub-boreal,Conifer,217,1430,-9999,188,87,13,-9999,IV-B,0,188,0,0,0.737255,0
2374,16050,73,16050_73,Western North American Boreal Mesic Birch-Aspen Forest,Hardwood,191,503,-9999,138,73,27,-9999,IV-B,0,209,0,0,0.819608,0
2375,16061,73,16061_73,Western North American Boreal Dry Aspen-Steppe Bluff-Lower Elevations,Hardwood,100,241,-9999,71,71,29,-9999,III-A,0,232,0,0,0.909804,0
2376,16062,73,16062_73,Western North American Boreal Dry Aspen-Steppe Bluff-Higher Elevations,Shrubland,143,207,-9999,85,59,41,-9999,III-A,0,232,0,0,0.909804,0
2377,16070,73,16070_73,Western North American Boreal Subalpine Balsam Poplar-Aspen Woodland,Hardwood,715,205,-9999,159,22,78,-9999,III-B,0,255,0,0,1,0
2378,16080,73,16080_73,Alaska Sub-boreal Avalanche Slope Shrubland,Shrubland,909,5000,-9999,769,85,15,-9999,V-B,209,178,140,0.819608,0.698039,0.54902
2379,16090,73,16090_73,Alaska Sub-Boreal Mesic Subalpine Alder Shrubland,Shrubland,833,-9999,-9999,833,100,-9999,-9999,V-B,186,107,89,0.729412,0.419608,0.34902
2380,16101,73,16101_73,Western North American Boreal Mesic Scrub Birch-Willow Shrubland-Boreal,Shrubland,200,-9999,-9999,200,100,-9999,-9999,IV-B,165,38,38,0.647059,0.14902,0.14902
2381,16102,73,16102_73,Western North American Boreal Mesic Scrub Birch-Willow Shrubland-Alaska Sub-boreal,Shrubland,300,-9999,-9999,300,100,-9999,-9999,V-A,165,38,38,0.647059,0.14902,0.14902
2382,16110,73,16110_73,Western North American Sub-boreal Mesic Bluejoint Meadow,Grassland,909,5000,-9999,769,85,15,-9999,V-B,255,214,0,1,0.839216,0
