TransitionGroupID,Model_Code,mean_amount,annual_probability,BpS_Name
All Fire,10550_27,7.1682,0.0071682,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
All Fire,10550_29,8.7036,0.0087036,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
All Fire,10560_1_7_8_9,10.794,0.010794,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
All Fire,10560_10_19,5.6376,0.0056376,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
All Fire,10560_15_28,7.2868,0.0072868,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
All Fire,10560_16_23,4.8518,0.0048518,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
All Fire,10560_18,7.0042,0.0070042,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
All Fire,10560_20,5.0466,0.0050466,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
All Fire,10560_21_22,3.4478,0.0034478,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
All Fire,10560_29,3.841,0.003841,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
All Fire,10570_12_16,6.9324,0.0069324,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland
All Fire,10570_18,7.1314,0.0071314,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland
All Fire,10570_23,7.1192,0.0071192,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland
All Fire,10570_28,6.8034,0.0068034,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland
All Fire,10570_29,2.9494,0.0029494,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland
All Fire,10580_12,28.1236,0.0281236,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland
All Fire,10580_4,19.8808,0.0198808,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland
All Fire,10580_7,12.5856,0.0125856,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland
All Fire,10581_6,27.5468,0.0275468,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland - Wet
All Fire,10582_6,39.3258,0.0393258,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland - Dry
All Fire,10590_24_28,7.9486,0.0079486,Southern Rocky Mountain Pinyon-Juniper Woodland
All Fire,10590_25,17.319,0.017319,Southern Rocky Mountain Pinyon-Juniper Woodland
All Fire,10590_26,95.4058,0.0954058,Southern Rocky Mountain Pinyon-Juniper Woodland
All Fire,10590_27_33,7.1644,0.0071644,Southern Rocky Mountain Pinyon-Juniper Woodland
All Fire,10600_1_2_7,35.4852,0.0354852,East Cascades Oak-Ponderosa Pine Forest and Woodland
All Fire,10610_13,30.3076,0.0303076,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
All Fire,10610_15_25,81.0248,0.0810248,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
All Fire,10610_18,35.0682,0.0350682,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
All Fire,10610_20_29,18.349,0.018349,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
All Fire,10610_22_27_28,34.8958,0.0348958,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
All Fire,10610_6,27.9844,0.0279844,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
All Fire,10610_8_9_17,36.7526,0.0367526,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
All Fire,10611_16_23_24,98.0794,0.0980794,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation
All Fire,10612_16_23,30.7444,0.0307444,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - High Elevation
All Fire,10620_10_19_21_29_31,14.686,0.014686,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
All Fire,10620_13,14.5406,0.0145406,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
All Fire,10620_16_23,15.4918,0.0154918,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
All Fire,10620_22_28,17.1456,0.0171456,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
All Fire,10620_6_12_17_18,14.307,0.014307,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
All Fire,10620_7_9,12.979,0.012979,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
All Fire,10630_1,3.3298,0.0033298,North Pacific Broadleaf Landslide Forest and Shrubland
All Fire,10630_2_7,11.9868,0.0119868,North Pacific Broadleaf Landslide Forest and Shrubland
All Fire,10640_15_16_17_23_24_27_28,12.737,0.012737,Colorado Plateau Mixed Low Sagebrush Shrubland
All Fire,10650_1_8_9_10,3.9546,0.0039546,Columbia Plateau Scabland Shrubland
All Fire,10660_29,2.3186,0.0023186,Inter-Mountain Basins Mat Saltbush Shrubland
All Fire,10670_6,1.9056,0.0019056,Mediterranean California Alpine Fell-Field
All Fire,10700_10_19_28,4.3774,0.0043774,Rocky Mountain Alpine Dwarf-Shrubland
All Fire,10700_16,4.3696,0.0043696,Rocky Mountain Alpine Dwarf-Shrubland
All Fire,10700_21,1.7918,0.0017918,Rocky Mountain Alpine Dwarf-Shrubland
All Fire,10710_6,4.4258,0.0044258,Sierra Nevada Alpine Dwarf-Shrubland
All Fire,10720_22_29,3.041,0.003041,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe
All Fire,10720_28,7.8584,0.0078584,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe
All Fire,10750_25,2.642,0.002642,Chihuahuan Mixed Salt Desert Scrub
All Fire,10750_26,1.631,0.001631,Chihuahuan Mixed Salt Desert Scrub
All Fire,10760_25,45.341,0.045341,Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub
All Fire,10770_15,2.871,0.002871,Chihuahuan Succulent Desert Scrub
All Fire,10770_25_26,6.2666,0.0062666,Chihuahuan Succulent Desert Scrub
All Fire,10780_15,3.4632,0.0034632,Colorado Plateau Blackbrush-Mormon-tea Shrubland
All Fire,10780_16_23_24_25,13.147,0.013147,Colorado Plateau Blackbrush-Mormon-tea Shrubland
All Fire,10790_13,11.4656,0.0114656,Great Basin Xeric Mixed Sagebrush Shrubland
All Fire,10790_6_9_10_12_16_17_18,11.8728,0.0118728,Great Basin Xeric Mixed Sagebrush Shrubland
All Fire,10800_1_7_8_9,9.8938,0.0098938,Inter-Mountain Basins Big Sagebrush Shrubland
All Fire,10800_10_19,12.521,0.012521,Inter-Mountain Basins Big Sagebrush Shrubland
All Fire,10800_13_14,9.226,0.009226,Inter-Mountain Basins Big Sagebrush Shrubland
All Fire,10801_21_22_28,13.6586,0.0136586,Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush
All Fire,10802_21_22_28,10.061,0.010061,Inter-Mountain Basins Big Sagebrush Shrubland - Wyoming Big Sagebrush
All Fire,10803_6_12_15_16_17_18_23_24_25,6.6022,0.0066022,Inter-Mountain Basins Big Sagebrush Shrubland - Semi-Desert
All Fire,10804_6_12_15_16_17_18_23_24_25,8.4418,0.0084418,Inter-Mountain Basins Big Sagebrush Shrubland - Upland
All Fire,10810_15_16_23_24_28,1.596,0.001596,Inter-Mountain Basins Mixed Salt Desert Scrub
All Fire,10810_18_19_21,0.8272,0.0008272,Inter-Mountain Basins Mixed Salt Desert Scrub
All Fire,10810_22,2.2558,0.0022558,Inter-Mountain Basins Mixed Salt Desert Scrub
All Fire,10810_27_33,4.2778,0.0042778,Inter-Mountain Basins Mixed Salt Desert Scrub
All Fire,10810_6_12_13_17,0.5172,0.0005172,Inter-Mountain Basins Mixed Salt Desert Scrub
All Fire,10810_7_8_9,1.4228,0.0014228,Inter-Mountain Basins Mixed Salt Desert Scrub
All Fire,10820_12_15_16_17_23_24,1.2436,0.0012436,Mojave Mid-Elevation Mixed Desert Scrub
All Fire,10820_14,2.4776,0.0024776,Mojave Mid-Elevation Mixed Desert Scrub
All Fire,10820_4_13,2.4768,0.0024768,Mojave Mid-Elevation Mixed Desert Scrub
All Fire,10820_6,1.9462,0.0019462,Mojave Mid-Elevation Mixed Desert Scrub
All Fire,10830_1,0.9918,0.0009918,North Pacific Avalanche Chute Shrubland
All Fire,10840_1,0.1032,0.0001032,North Pacific Montane Shrubland
All Fire,10850_20,33.6516,0.0336516,Northwestern Great Plains Shrubland
All Fire,10850_29_30,65.863,0.065863,Northwestern Great Plains Shrubland
All Fire,10860_13_16_17_18_21_23,45.8416,0.0458416,Rocky Mountain Lower Montane-Foothill Shrubland
All Fire,10860_25,19.037,0.019037,Rocky Mountain Lower Montane-Foothill Shrubland
All Fire,10860_26,69.5092,0.0695092,Rocky Mountain Lower Montane-Foothill Shrubland
All Fire,10860_27_31_33,22.085,0.022085,Rocky Mountain Lower Montane-Foothill Shrubland
All Fire,10860_28,18.6432,0.0186432,Rocky Mountain Lower Montane-Foothill Shrubland
All Fire,10860_29,9.3834,0.0093834,Rocky Mountain Lower Montane-Foothill Shrubland
All Fire,10861_22,11.0542,0.0110542,Rocky Mountain Lower Montane-Foothill Shrubland - No True Mountain Mahogany
All Fire,10862_22,9.3616,0.0093616,Rocky Mountain Lower Montane-Foothill Shrubland - True Mountain Mahogany
All Fire,10870_4_6_12_13_14_15_17_24_25,3.0082,0.0030082,Sonora-Mojave Creosotebush-White Bursage Desert Scrub
All Fire,10900_14,2.0288,0.0020288,Sonoran Granite Outcrop Desert Scrub
All Fire,10910_13_14,9.5236,0.0095236,Sonoran Mid-Elevation Desert Scrub
All Fire,10910_15,2.8784,0.0028784,Sonoran Mid-Elevation Desert Scrub
All Fire,10910_25,2.7222,0.0027222,Sonoran Mid-Elevation Desert Scrub
All Fire,10920_4,6.5338,0.0065338,Southern California Coastal Scrub
All Fire,10930_13_15_16_23_24_28,4.6186,0.0046186,Southern Colorado Plateau Sand Shrubland
All Fire,10940_25,61.5598,0.0615598,Western Great Plains Sandhill Steppe
All Fire,10940_26,46.0072,0.0460072,Western Great Plains Sandhill Steppe
