"","model_label","model_code","ref_label","ref_percent","bps_name","Var1","Var2","Freq","BPS_CODE","ZONE","total_count","currentPercent"
"91","14790_60_61_63_64_65_66_A","14790_60_61_63_64_65_66","A",24,"Central Interior and Appalachian Swamp Systems",NA,NA,NA,NA,NA,NA,NA
"92","14790_60_61_63_64_65_66_B","14790_60_61_63_64_65_66","B",36,"Central Interior and Appalachian Swamp Systems",1960,2,18,14790,64,505,3
"93","14790_60_61_63_64_65_66_C","14790_60_61_63_64_65_66","C",40,"Central Interior and Appalachian Swamp Systems",1960,3,440,14790,64,505,87
"94","14790_60_61_63_64_65_66_D","14790_60_61_63_64_65_66","D",NA,"Central Interior and Appalachian Swamp Systems",NA,NA,NA,NA,NA,NA,NA
"95","14790_60_61_63_64_65_66_E","14790_60_61_63_64_65_66","E",NA,"Central Interior and Appalachian Swamp Systems",NA,NA,NA,NA,NA,NA,NA
"96","14790_60_61_63_64_65_66_Agriculture","14790_60_61_63_64_65_66","Agriculture",0,"Central Interior and Appalachian Swamp Systems",1960,180,2,14790,64,505,0
"97","14790_60_61_63_64_65_66_Developed","14790_60_61_63_64_65_66","Developed",0,"Central Interior and Appalachian Swamp Systems",1960,120,9,14790,64,505,1
"98","14790_60_61_63_64_65_66_Water","14790_60_61_63_64_65_66","Water",0,"Central Interior and Appalachian Swamp Systems",NA,NA,NA,NA,NA,NA,NA
"99","14790_60_61_63_64_65_66_UN","14790_60_61_63_64_65_66","UN",0,"Central Interior and Appalachian Swamp Systems",1960,6,1,14790,64,505,0
"100","14790_60_61_63_64_65_66_UE","14790_60_61_63_64_65_66","UE",0,"Central Interior and Appalachian Swamp Systems",1960,7,35,14790,64,505,6
"101","14940_64_A","14940_64","A",47,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",NA,NA,NA,NA,NA,NA,NA
"102","14940_64_B","14940_64","B",29,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",NA,NA,NA,NA,NA,NA,NA
"103","14940_64_C","14940_64","C",11,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",NA,NA,NA,NA,NA,NA,NA
"104","14940_64_D","14940_64","D",13,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1962,4,7,14940,64,8,87
"105","14940_64_E","14940_64","E",NA,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",NA,NA,NA,NA,NA,NA,NA
"106","14940_64_Agriculture","14940_64","Agriculture",0,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1962,180,1,14940,64,8,12
"107","14940_64_Developed","14940_64","Developed",0,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",NA,NA,NA,NA,NA,NA,NA
"108","14940_64_Water","14940_64","Water",0,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",NA,NA,NA,NA,NA,NA,NA
"109","14940_64_UN","14940_64","UN",0,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",NA,NA,NA,NA,NA,NA,NA
"110","14940_64_UE","14940_64","UE",0,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",NA,NA,NA,NA,NA,NA,NA
"111","15260_64_65_66_A","15260_64_65_66","A",14,"Laurentian-Acadian Swamp Systems",NA,NA,NA,NA,NA,NA,NA
"112","15260_64_65_66_B","15260_64_65_66","B",11,"Laurentian-Acadian Swamp Systems",1964,2,2,15260,64,101,1
"113","15260_64_65_66_C","15260_64_65_66","C",21,"Laurentian-Acadian Swamp Systems",1964,3,54,15260,64,101,53
"114","15260_64_65_66_D","15260_64_65_66","D",54,"Laurentian-Acadian Swamp Systems",NA,NA,NA,NA,NA,NA,NA
"115","15260_64_65_66_E","15260_64_65_66","E",NA,"Laurentian-Acadian Swamp Systems",NA,NA,NA,NA,NA,NA,NA
"116","15260_64_65_66_Agriculture","15260_64_65_66","Agriculture",0,"Laurentian-Acadian Swamp Systems",1964,180,1,15260,64,101,0
"117","15260_64_65_66_Developed","15260_64_65_66","Developed",0,"Laurentian-Acadian Swamp Systems",1964,120,2,15260,64,101,1
"118","15260_64_65_66_Water","15260_64_65_66","Water",0,"Laurentian-Acadian Swamp Systems",NA,NA,NA,NA,NA,NA,NA
"119","15260_64_65_66_UN","15260_64_65_66","UN",0,"Laurentian-Acadian Swamp Systems",1964,6,42,15260,64,101,41
"120","15260_64_65_66_UE","15260_64_65_66","UE",0,"Laurentian-Acadian Swamp Systems",NA,NA,NA,NA,NA,NA,NA
